%Frame Number	Image Center x	Image Center y	World Center x	World Center y	Area	Orientation	Compactness
432	682.394	470.222	0	0	1091	-0.556729	0.373737
433	682.42	470.019	0	0	1070	-0.556339	0.369736
434	682.555	469.903	0	0	1077	-0.5543	0.372155
435	683.055	469.631	0	0	1094.5	-0.552949	0.365011
436	683.047	469.656	0	0	1093.5	-0.552261	0.364678
437	683.084	469.643	0	0	1095	-0.551817	0.362984
438	683.087	469.627	0	0	1095	-0.552466	0.362984
439	683.284	469.553	0	0	1097.5	-0.550043	0.358583
440	683.067	469.758	0	0	1102.5	-0.552282	0.357192
441	683.155	469.756	0	0	1109	-0.550755	0.361445
442	682.787	470.064	0	0	1102	-0.551644	0.369741
443	682.99	470.021	0	0	1110	-0.549595	0.364844
444	682.944	470.164	0	0	1103	-0.548525	0.362543
445	682.923	470.204	0	0	1106.5	-0.549223	0.361523
446	682.963	470.178	0	0	1108.5	-0.548465	0.362177
447	682.963	470.178	0	0	1108.5	-0.548465	0.362177
448	682.66	470.305	0	0	1099.5	-0.550686	0.366679
449	682.687	470.293	0	0	1098	-0.55055	0.368399
450	682.683	470.288	0	0	1099	-0.550958	0.368735
451	683.022	469.975	0	0	1103	-0.548763	0.358236
452	683.118	469.916	0	0	1108.5	-0.54664	0.362177
453	682.901	470.027	0	0	1102.5	-0.548271	0.367679
454	682.754	470.033	0	0	1098.5	-0.549637	0.366345
455	682.693	469.994	0	0	1094.5	-0.551984	0.365011
456	682.628	469.959	0	0	1099	-0.552446	0.364309
457	682.785	469.967	0	0	1103.5	-0.547402	0.363609
458	682.663	469.992	0	0	1105	-0.549361	0.366298
459	682.663	469.992	0	0	1105	-0.549361	0.366298
460	682.968	469.919	0	0	1119	-0.545465	0.363433
461	682.856	470.032	0	0	1110	-0.545966	0.36051
462	682.83	470.129	0	0	1109.5	-0.546939	0.362504
463	682.96	470.159	0	0	1106	-0.546007	0.363529
464	683.012	470.167	0	0	1107	-0.546081	0.363858
465	683.012	470.167	0	0	1107	-0.546081	0.363858
466	683.059	470.231	0	0	1108	-0.542137	0.364186
467	683.021	470.262	0	0	1105.5	-0.542703	0.361197
468	683.024	470.295	0	0	1096	-0.54606	0.355963
469	683.201	470.174	0	0	1105.5	-0.543599	0.356918
470	682.263	470.674	0	0	1079	-0.549167	0.368305
471	682.483	470.563	0	0	1085	-0.547392	0.36275
472	682.639	470.369	0	0	1107	-0.546075	0.356525
473	682.603	470.342	0	0	1100.5	-0.548834	0.367012
474	682.766	470.131	0	0	1100	-0.544701	0.353043
